Timestamp,Teilbereich der Ausbildung,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Fachbereich,Fachbegriff,Inhalt,Fachbegriff,Definition,Erläuterung,Praxisbeispiel,Verwandte Themen,Kommentar/Bemerkung,Skizze,Lernfrage,Antwortmöglichkeit 1 (bitte hier immer die richtige Antwort),Begründung 1,Antwortmöglichkeit 2,Begründung 2,Antwortmöglichkeit 3,Begründung 3,Antwortmöglichkeit 4,Begründung 4,Antwortmöglichkeit 5,Begründung 5,Lernfrage,Skizze,Antwort 1,Antwort 2,Antwort 3,Antwort 4,Antwort 5,Antwort 6,Antwort 7,Antwort 8,Begründung,Beispielrechnung,Skizze,Antwortmöglichkeit 1 (bitte hier immer die richtige Lösung),Begründung 1,Antwortmöglichkeit 2,Begründung 2,Antwortmöglichkeit 3,Begründung 3,Antwortmöglichkeit 4,Begründung 4,Antwortmöglichkeit 5,Begründung 5,Lernfrage,Skizze,Antwortmöglichkeit 1 (bitte richtige Wahl),Begründung 1,Antwortmöglichkeit 2 (bitte richtige Wahl),Begründung 2,"Antwortmöglichkeit 3 (falls richtig, am Anfang der Antwort mit ""R:"" beginnen)",Begründung 3,Antwortmöglichkeit 4,Begründung 4,Antwortmöglichkeit 5,Begründung 5,Skizze,Auswahl 1,Zugehörig zu Auswahl 1,Auswahl 2,Zugehörig zu Auswahl 2,Auswahl 3,Zugehörig zu Auswahl 3,Auswahl 4,Zugehörig zu Auswahl 4,Auswahl 5,Zugehörig zu Auswahl 5,Begründung,Skizze,Frage,"Antwort (Soll); bitte bei mehreren Soll, mit einem ; trennen","Antwort (Haben) bitte bei mehreren Haben, mit einem ; trennen",Begründung,Skizze (Leere Tabelle),Fragestellung,Lösung (ergänzte Tabelle),Begründung,Kommentar
24/02/2020 19:32:15,Büroprozesse gestalten und Arbeitsvorgänge organisieren,,Ergonomie,,,,,,,,,,,,,,Ergonomie am Arbeitsplatz ,Artikel/Definition/Beispiel,Bürostuhl,"Um möglichst rückenschonend im Büro sitzen zu können, benötigt man einen ergonomisch gestalteten Bürostuhl, der den Sitzenden bei allem Sitzhaltungen effektiv unterstützt. ","Ein ergonomisch gestalteter Bürostuhl soll mindestens folgende Eigenschaften besitzen:

-höhenverstellbare Sitzfläche: Unterarme parallel mit Tischfläche, Oberschenkel und Unterschenkel bilden einen Winkel von 90°
- 5 Abstützpunkte (Rollen oder Gleiter) = kippsicher
- Höhenverstellbare Rückenlehne
- Dynamik der Rückenlehne
-Abgerundete Sitzfläche",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/02/2020 19:46:57,Büroprozesse gestalten und Arbeitsvorgänge organisieren,,Ergonomie,,,,,,,,,,,,,,Ergonomie am Arbeitsplatz,Artikel/Definition/Beispiel,Arbeitstisch,"Die Tische sollten in der Höhe individuell verstellbar sein und einen Wechsel zwischen Sitzen und Stehen ermöglichen. Die Flächen von Bürostühlen sollten nicht glänzen, sondern halbmatt oder seidenmatt sein, um Lichtreflexionen zu vermeiden.",Die Mindestbreite für eine Tischplatte ist 160 cm und die Mindesttiefe der Fläche liegt bei 80 cm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/02/2020 20:05:39,Büroprozesse gestalten und Arbeitsvorgänge organisieren,,Ergonomie,,,,,,,,,,,,,,Ergonomie am Arbeitsplatz,Artikel/Definition/Beispiel,"Bildschirm, Maus und Tastatur",Die Bildschirmdiagonale solle 19 bis 21 Zoll betragen. Der Monitorabstand sollte ungefähr 50 cm bis 60 cm vom Kopf betragen. die oberste Bildschirmzeile sollte leicht unterhalb der Augenhöhe liegen. Die Maus sollte die natürliche Haltung der Hand unterstützten. Die Tatatur sollte ein  gewölbtes Design zur Verhinderung von Sehnenreibungen und Abknicken der Handgelenke haben.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/02/2020 20:19:09,Büroprozesse gestalten und Arbeitsvorgänge organisieren,,Ergonomie,,,,,,,,,,,,,,Ergonomie am Arbeitsplatz,Artikel/Definition/Beispiel,Farben,"Farben beeinflussen Denkprozesse, die Laune, die Motivation, die Effizienz, die Regeneration, den Fokus und das Wohlbefinden. Ziel ist immer eine erkennbar bessere Arbeitsplatzgestaltung, die sowohl die Leistung als auch das Wohlbefinden steigert.","- Rot hat eine stimulierende und aktivierende Wirkung und unterstützt Aggressionen.
- Orange fördert die Anregung der Kommunikation und Geselligkeit und ist energieschöpfend.
- Schwarz hat eine bedrückende Wirkung.
- Weiß lässt Raum für kreative Prozesse und neue Ideen.
- Blau hilft bei der Bewältigung von Tagesstress und wirkt regenerativ.
- Gelb regt die Kommunikation an und unterstützt den kreativen Prozess.
- Grün unterstützt die Ausdauer und fördert Hilfsbereitschaft und Zufriedenheit.
- Violett regt die Kreativität an und unterstützt das Verantwortungsbewusstsein.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/02/2020 21:33:39,Büroprozesse gestalten und Arbeitsvorgänge organisieren,,Ergonomie,,,,,,,,,,,,,,Ergonomie am Arbeitsplatz,Artikel/Definition/Beispiel,Akustik im Büro,"Laut der Arbeitsstättenordnung soll der Schalldruck so niedrig wie möglich gehalten werden, damit keine gesundheitlichen Folgen entstehen.","Geräusche entstehen durch:
- Telefonate, Faxgeräte
- Computer, Drucker, Tastaturen
- Gespräche von Kollegen
- Lüftungen und Klimaanlagen
- Radio
- Straßenverkehr

Möglichkeiten zur Lärmminderung im Büro:
- Einbau von Schallabschirmungen zu anderen Arbeitsplätzen
- Anbindung Schalldämmernden Decken
- Schalldämmende Fußbodenmaterialien
- Auswahl ruhiger technischer Geräte
- Auslagerung geräuschintensiver technischer Geräte",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/02/2020 21:44:04,Büroprozesse gestalten und Arbeitsvorgänge organisieren,,Ergonomie,,,,,,,,,,,,,,Ergonomie am Arbeitsplatz,Artikel/Definition/Beispiel,Licht im Büro,"Eine gute Ausleuchtung ist wichtig für effektive Arbeit. Es sollte mindestens 2 % Tageslicht vorhanden sein, mindestens 4 % Tageslicht bei Dachoberlicht. Störende Blendungen durch die Sonne mit Hilfe von Rollos vermeiden und die Computer parallel zu den Fenstern ausrichten. Büroräume und Arbeitsbereiche sollten einen Mindestwert von 500 Lux haben.","Auswirkungen schlechter Lichtverhältnisse:
- Müdigkeit
- Konzentrationsschwierigkeiten
- Augenleiden
- Kopfschmerzen

Auswirkungen ergonomisch richtige Beleuchtung:
- Motivationssteigerung
- bessere Leistungsfähigkeit
- höhere Produktivität ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/02/2020 21:45:48,Büroprozesse gestalten und Arbeitsvorgänge organisieren,,Ergonomie,,,,,,,,,,,,,,Ergonomie am Arbeitsplatz,Artikel/Definition/Beispiel,Raumklima im Büro,"Die perfekte Luftfeuchtigkeit sollte zwischen 40 % und 60 % liegen, damit es nicht zu Atemwegserkrankungen oder anderen Krankheiten kommt. Dies erreichen Sie mit Pflanzen, Luftbefeuchter und Wasserbehälter.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/02/2020 21:57:35,Büroprozesse gestalten und Arbeitsvorgänge organisieren,,Methoden des Zeitmanagements,,,,,,,,,,,,,,Methoden des Zeitmanagements,Artikel/Definition/Beispiel,Grundlegendes,"1.	Ziele definieren
2.	Ziele aufschreiben
3.	Erstellen Sie eine List von allem, was Sie tun müssen, um Ihre Ziele zu erreichen
4.	Aus der Liste einen Plan erstellen
5.	Plan in die Tat umsetzten und die Ergebnisse kontrollieren
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/02/2020 22:03:39,Büroprozesse gestalten und Arbeitsvorgänge organisieren,,Methoden des Zeitmanagements,,,,,,,,,,,,,,Methoden des Zeitmanagements,Artikel/Definition/Beispiel,Smarte Ziele,"S: spezifisch
M: messbar
A: attraktiv
R: realistisch
T: terminiert ","spezifisch: formulieren sie ihr Ziel konkret und positiv. Was genau soll erreicht werden?Welche Eigenschaften werden angestrebt? Wo soll das Ziel erreicht werden? Wer ist beteiligt?

messbar: Die Ziele müssen so ausgerichtet werden, das Fortschritte und das Erreichen des Zieles selbst quantifizierbar sind 

attraktiv, aktiv, akzeptiert, angemessen: Die Ziele müssen für Sie persönlich relevant sein. Ihre eigene Motivation und Ihr Wille sind Treiber, damit Sie die Ziele erreichen. Wirkt das Ziel motivierend?

realistisch: Ihre Ziele sollten herausfordernd aber auch realistisch sein. Definieren Sie diese durch Zwischenziele (Meilensteine).

terminiert: In welcher Zeitspanne sollten welche Ergebnisse erreicht werden? Bis wann soll das Ziel erreicht werden? In welchem Zeitraum soll das Ziel erreicht werden?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/02/2020 22:15:59,Büroprozesse gestalten und Arbeitsvorgänge organisieren,,Methoden des Zeitmanagements,,,,,,,,,,,,,,Methoden des Zeitmanagements,Artikel/Definition/Beispiel,Pareto Prinzip,"Bei dem Pareto Prinzip soll die Priorität auf die wichtigsten Teile eines Projekts gelegt werden. Es sollen 20 % der Aufgaben bzw. der Zeit 80 % der Ergebnisse bringen. Dadurch das eine Prioritätenliste geführt wird, werden 80 % der anfallenden Arbeit in 20 % der Zeit erledigt, da diese die entscheidenen Aufgaben sind.",20% der eingesetzten Zeit bringen 80% der Ergebnisse. Die verbleibenden 20 % der Ergebnisse benötigen mit 80 % die meiste Arbeit.,"- 20% der Kunden oder Waren bringen 80% des Umsatzes
- 20% der Zeitung enthalten 80% der Nachrichten
- 20% der Schreibtischarbeit ermöglicht 80% des Arbeitserfolges
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/02/2020 22:17:08,Büroprozesse gestalten und Arbeitsvorgänge organisieren,,Methoden des Zeitmanagements,,,,,,,,,,,,,,Methoden des Zeitmanagements,Artikel/Definition/Beispiel,ABC Aufgaben,"Die ABC-Analyse ist ein Verfahren zur Priorisierung von Aufgaben, Problemen, Produkten und Aktivitäten.","Die ABC-Analyse ist dabei eine Methode zur Entscheidungshilfe mittels Einteilung in A-Aufgaben (wichtigsten Aufgaben), B-Aufgaben (teilweise wichtige Aufgaben) und C-Aufgaben.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/02/2020 22:21:10,Büroprozesse gestalten und Arbeitsvorgänge organisieren,,Methoden des Zeitmanagements,,,,,,,,,,,,,,Methoden des Zeitmanagements,Artikel/Definition/Beispiel,Alpenmethode,"A: Aufgaben auflisten
L: Länge / Zeitbedarf kalkulieren
P: Pufferzeiten reservieren
E: Entscheidungen nach Prioritäten",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/02/2020 22:23:02,Büroprozesse gestalten und Arbeitsvorgänge organisieren,,Termine koordinieren und organisieren,,,,,,,,,,,,,,Termine koordinieren und organisieren,Artikel/Definition/Beispiel,Termin,"Zu einem Termin gehört ein Zeitpunkt, der mit einem Datum oder sogar mit einer Uhrzeit verbunden festgelegt ist. An diesem Zeitpunkt soll ein bestimmtes oder gewünschtes Ereignis besprochen werden oder eintreten.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/02/2020 22:53:17,Büroprozesse gestalten und Arbeitsvorgänge organisieren,,Termine koordinieren und organisieren,,,,,,,,,,,,,,Termine koordinieren und organisieren,Artikel/Definition/Beispiel,Termine organisieren / planen,"- Welches Thema wird besprochen?
- Warum soll der Termin stattfinden?
- Welcher Zeitrahmen wird für den Termin benötigt?
- Welches Ergebnis wird angestrebt?
- Welcher Personenkreis nimmt an dem Termin teil?
- Was muss vorbereitet werden für den Termin?
- Den Termin im Outlook Kalender festlegen
- Teilnehmer einladen und passenden Raum auswählen
- Ist jeder Terminteilnehmer für die Zeit verfügbar?
- Wird für den Termin eventuell ein Zeitpuffer benötigt?
- Welche Materialien werden für den Termin benötigt?
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/02/2020 08:45:02,Liquidität sichern und Finanzierung vorbereiten,,,,,,,,,Investitionen und Finanzierungen,,,,,,,Leasing,Mehrfachwahlaufgabe (Multiple Choice),Leasing,,,,,,,Was ist Leasing?,Eine Sonderform der Fremdfinanzierung und rechtlich gesehen ein Mietvertrag.,"Ja, da es sich um die Vermietung oder Verpachtung von Gütern handelt.",Eine Sonderform der Eigenfinanzierung und rechtlich gesehen ein Mietvertrag.,"Nein, es ist zwar rechtlich gesehen ein Mietvertrag, allerdings eine Form der Fremdfinanzierung.","Eine Sonderform der Fremdfinanzierung, auch Forderungsverkauf genannt.","Das ist Factoring. Beim Leasing wird nichts verkauft, sondern gemietet.",Eine umsatzkongruente Finanzierung.,Das ist Factoring.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/02/2020 08:53:53,Liquidität sichern und Finanzierung vorbereiten,,,,,,,,,Investitionen und Finanzierungen,,,,,,,Factoring,Mehrfachwahlaufgabe (Multiple Choice),Factoring,,,,,,,Was ist Factoring?,"Eine Sonderform der Fremdfinanzierung, auch Forderungsverkauf genannt.","Ja, da Unternehmen ihre Forderungen an ein anderes Unternehmen verkaufen.",Eine Sonderform der Fremdfinanzierung. Factoring wird auch Schuldenverkauf genannt.,"Nein, es werden nicht die Schulden verkauft, sondern die Forderungen, die das Unternehmen hat. Schulden würde niemand kaufen ;-)","Factoring ist nichts anderes als eine Form der Zession, bei der Forderungen abgetreten werden.","Nein, die Forderungen werden nicht bloß abgetreten, sondern verkauft.","Factoring bedeutet, eine Bürgschaft für jemanden zu übernehmen und an Dritte zu zahlen.
","Nein, das ist die Kreditsicherheit ""Bürgschaft"".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/02/2020 09:06:44,Geschäftsprozesse darstellen und optimieren,,,,,,,,,,,Regelungen,,,,,Organisation,Mehrfachwahlaufgabe (Multiple Choice),Organisation,,,,,,,"Definiere den Begriff ""Organisation"".",Organisation ist die Aufstellung genereller Regelungen für den betrieblichen Arbeitsprozess.,"Richtig, da Regelungen keinen Handlungsspielraum ermöglichen und langfristig gelten.",Organisation ist die fallweise Regelung für häufiger auftretende betriebliche Vorgänge.,"Organisation gilt langfristig, die fallweise Regelung ist die Disposition.","Organisation ist, wenn unvorhergesehene Ereignisse eine bisher nicht aufgetretene Situation schaffen und man eine provisorische Lösung finden muss.","Nein, das ist Improvisation, wenn noch keine Regelung existiert.",Organisation ist die Aufstellung fallbezogener Regelungen für den betrieblichen Arbeitsprozess.,"Dispositionen sind fallbezogen, da man eine flexible Einzelentscheidung treffen kann.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/02/2020 09:16:48,Geschäftsprozesse darstellen und optimieren,,,,,,,,,,,Regelungen,,,,,Disposition,Mehrfachwahlaufgabe (Multiple Choice),Disposition,,,,,,,"Definiere den Begriff ""Disposition"".","Bei der Disposition kann man flexible Einzelentscheidungen treffen, die auf den Fall bezogen sind.",Richtig! Man trifft eine fallweise Regelung für häufiger auftretende betriebliche Vorgänge.,Die Disposition ist eine provisorische Lösung für häufiger auftretende betriebliche Vorgänge.,"Nein, die Improvisation ist eine provisorische Lösung, da noch keine Regelung getroffen wurde.","Die Disposition birgt die Möglichkeit zur Anpassung für Vorgänge, die sich wiederholen.",Das ist ein Mix aus Disposition und Organisation. ,"Die Disposition erlaubt keinen Handlungsspielraum, da es sich um eine generelle Regelung handelt.",Das ist Organisation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/02/2020 09:30:59,Geschäftsprozesse darstellen und optimieren,,,,,,,,,,,Regelungen,,,,,Improvisation,Mehrfachwahlaufgabe (Multiple Choice),Improvisation,,,,,,,"Definiere den Begriff ""Improvisation"".","Die Improvisation ist eine provisorische Lösung, da es keine Regelung gibt. Sie ist kurzfristig gültig.","Richtig, sie ist kurzfristig gültig, da noch keine Regelung getroffen wurde.","Die Improvisation ist eine provisorische Lösung, da es keine Regelung gibt. Sie ist längerfristig gültig.","Se ist zwar provisorisch, allerdings nur kurzfristig gültig.","Improvisation bedeutet, dass unvorhersehbare Vorgänge spontan entschieden werden, man allerdings keinen Handlungsspielraum hat.","Es sind unvorhersehbare Ereignisse, daher hat man großen Handlungsspielraum. Man muss spontan entscheiden.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/02/2020 09:36:21,Geschäftsprozesse darstellen und optimieren,,,,,,,,,,,Teilbereiche der Organisation,,,,,Aufbauorganisationen,Zuordnungsaufgabe,Aufbauorganisation - funktional; Aufbauorganisation - divisional; Aufbauorganisation - Matrix ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aufbauorganisation – funktional,"Die Zerlegung der Elementaraufgaben erfolgt nach dem Kriterium ""Verrichtung"". ",Aufbauorganisation – divisional,"Die Zerlegung der Elementaraufgaben erfolgt nach dem Kriterium ""Objekt"". ",,,Aufbauorganisation – Matrix,"Die Zerlegung der Elementaraufgaben erfolgt nach dem Kriterium ""Rang"". ",,,,,,,,,,,,,
25/02/2020 09:41:12,Geschäftsprozesse darstellen und optimieren,,,,,,,,,,,Teilbereiche der Organisation,,,,,Aufbauorganisation,Mehrfachwahlaufgabe (Multiple Choice),Aufbauorganisation - funktional; Aufbauorganisation - divisional; Aufbauorganisation - Matrix ,,,,,,,Was ist die Aufgabe der Aufbauorganisation?,Festlegung der Rahmenbedingungen.,"Richtig, es werden Rahmenbedingungen definiert.",Regelung der Arbeits- und Informationsprozesse.,Das ist die Ablauforganisation.,Optimierung der Kapazitätsauslastung.,Das ist die Ablauforganisation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/02/2020 09:47:47,Geschäftsprozesse darstellen und optimieren,,,,,,,,,,,Teilbereiche der Organisation,,,,,Ablauforganisation,Mehrfachwahlaufgabe (Multiple Choice),Aufbauorganisation - funktional; Aufbauorganisation - divisional; Aufbauorganisation - Matrix ,,,,,,,Was ist die Aufgabe der Ablauforganisation?,Regelung der Arbeits- und Informationsprozesse innerhalb einer Aufbauorganisation.,Richtig!,"Grafische Darstellung als ""hierarchisches Gerüst"" eines Unternehmens.","Nein, das ist die Aufbauorganisation, die die Rahmenbedingungen festlegt.",Grober Rahmen für die Aufgabenerfüllung im Unternehmen.,"Nein, das ist die Aufbauorganisation, die die Rahmenbedingungen festlegt.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/02/2020 09:50:20,Geschäftsprozesse darstellen und optimieren,,,,,,,,,,,Teilbereiche der Organisation,,,,,Organisationsformen,Mehrfachantwortaufgabe,Aufbauorganisation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leitfragen der Aufbauorganisation,,Wer übernimmt was?,Rahmenbedingung,Wie sind die Aufgaben gegliedert?,Rahmenbedingung,"R: Wie ist die Unternehmenshierarchie aufgebaut?""",Rahmenbedingung,Wie wird die Aufgabe erfüllt?,"Nein, da es die Regelung innerhalb einer Arbeitsprozesses betrifft.",Was ist im Einzelnen zu machen?,"Nein, da es die Regelung innerhalb einer Arbeitsprozesses betrifft.",,,,,,,,,,,,,,,,,,,,,,
25/02/2020 09:55:01,Geschäftsprozesse darstellen und optimieren,,,,,,,,,,,Teilbereiche der Organisation,,,,,Analyse-Synthese-Konzept nach Kosiol,Richtige Reihenfolge,Analyse-Synthese-Konzept,,,,,,,,,,,,,,,,,,Struktur des Analyse-Synthese-Konzepts,,"Bestimmung von Elementaraufgaben, um die Gesamtaufgabe bewältigen zu können.",Anhand von unterschiedlichen Kriterien die Aufgaben in Arbeitsschritte zerlegen.,Aufgaben- oder Arbeitssynthese durchführen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/02/2020 10:09:32,Geschäftsprozesse darstellen und optimieren,,,,,,,,,,,Teilbereiche der Organisation,,,,,Analyse-Synthese-Konzept,Mehrfachantwortaufgabe,Analyse-Synthese-Konzept,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zerlegungskriterien nach Kosiol,,Verrichtung,Was wird getan?,Objekt,An welchem Objekt wird es getan?,R: Rang,Ist es eine Entscheidungs- oder Ausführungsaufgabe?,Führungskräfte,"Nein, das ist kein Zerlegungskriterium.",Ordnung,"Nein, das ist kein Zerlegungskriterium.",,,,,,,,,,,,,,,,,,,,,,
25/02/2020 10:12:26,Geschäftsprozesse darstellen und optimieren,,,,,,,,,,,Teilbereiche der Organisation,,,,,Stellenarten,Zuordnungsaufgabe,Stellenarten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ausführend,"Stellen, die keine Leitungsbefugnisse besitzen.",Instanz,Stellen mit Anordnungs- und Entscheidungsbefugnissen gegenüber rangniedrigeren Stellen.,,,Stab,"Beratende Hilfsstellen, allerdings nicht weisungsberechtigt.",,,,,,,,,,,,,
25/02/2020 10:24:43,Wertschöpfungsprozesse erfolgsorientiert steuern,,,,,,,,,,Kosten- und Leistungsrechnung,,,,,,Bezugskosten,Mehrfachantwortaufgabe,Nachlässe und Bezugskosten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Was sind Bezugskosten?,,Fracht- und Transportkosten,"Nötig, damit ich die Ware erhalten kann.",Verpackungskosten,"Nötig, damit ich die Ware erhalten kann.",R: Kosten für Versicherungen,Fallen auch bei Lieferung einer Ware an,Mietkosten,"Haben nichts mit dem Bezug der Ware zu tun, sie gehören zum Handlungskostenzuschlag.",Personalkosten,"Haben nichts mit dem Bezug der Ware zu tun, sie gehören zum Handlungskostenzuschlag.",,,,,,,,,,,,,,,,,,,,,,
25/02/2020 10:28:32,Wertschöpfungsprozesse erfolgsorientiert steuern,,,,,,,,,,Kosten- und Leistungsrechnung,,,,,,Rabatte,Mehrfachantwortaufgabe,Nachlässe und Bezugskosten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Was sind Gründe für Rabatte?,,Preisabzug für Mengen.,"Ja, Preisabzug aufgrund von großen Mengen (Mengenrabatt).",Preisabzug für Treue.,"Ja, Treuerabatt.",Preisabzug aufgrund von Zahlung innerhalb einer bestimmten Frist.,"Nein, das ist Skonto.",,,,,,,,,,,,,,,,,,,,,,,,,,
25/02/2020 10:32:52,Wertschöpfungsprozesse erfolgsorientiert steuern,,,,,,,,,,Kosten- und Leistungsrechnung,,,,,,Handlungskoten,Mehrfachantwortaufgabe,Aufbau der Vorwärtskalkulation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Was sind Handlungskosten?,,Löhne und Gehälter,,Lagerkosten,,R: Werbekosten,,Verpackungskosten,Das sind Bezugskosten.,,,,,,,,,,,,,,,,,,,,,,,,
25/02/2020 10:41:43,Wertschöpfungsprozesse erfolgsorientiert steuern,,,,,,,,,,Kosten- und Leistungsrechnung,,,,,,Selbstkostenpreis,Mehrfachwahlaufgabe (Multiple Choice),Aufbau der Vorwärtskalkulation,,,,,,,Was sind Selbstkosten?,"Summe von Bezugskosten und den Handlungskosten, also meine eigenen Kosten.","Ja, ersichtlich aus der Vorwärtskalkulation.",Die beim Verkauf von Gütern entstandene Kosten.,"Die Kosten fallen bei der Produktion an, nicht beim Verkauf.",Kosten der Betriebstätigkeit.,"Nein, das sind Handlungskosten.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/02/2020 10:44:33,Wertschöpfungsprozesse erfolgsorientiert steuern,,,,,,,,,,Kosten- und Leistungsrechnung,,,,,,Handelskalkulation,Richtige Reihenfolge,Bezugskalkulation; Verkaufskalkulation,,,,,,,,,,,,,,,,,,Wie ist die Vorwärtskalkulation bis zum Einstandspreis aufgebaut?,,= Listeneinkaufspreis,- Lieferantenrabatt,= Zieleinkaufspreis,- Lieferantenskonto,= Bareinkaufspreis,+ Bezugskosten,= Einstands-/Bezugspreis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/02/2020 10:48:13,Wertschöpfungsprozesse erfolgsorientiert steuern,,,,,,,,,,Kosten- und Leistungsrechnung,,,,,,Handelskalkulation,Richtige Reihenfolge,Bezugskalkulation; Verkaufskalkulation,,,,,,,,,,,,,,,,,,Wie ist die Rückwärtskalkulation bis zum Einstandspreis aufgebaut?,,= Listenverkaufspreis,- Kundenrabatt,= Zielverkaufspreis,- Kundenskonto,= Barverkaufspreis,- Gewinnzuschlagsatz,= Selbstkostenpreis,- Handelskostenzuschlag ,= Bezugs-/Einstandspreis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/02/2020 10:52:25,Wertschöpfungsprozesse erfolgsorientiert steuern,,,,,,,,,,Kosten- und Leistungsrechnung,,,,,,Handelskalkulation,Zuordnungsaufgabe,Bezugskalkulation; Verkaufskalkulation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vorwärtskalkulation,Errechnung des Verkaufspreises.,Rückwärtskalkulation,Errechnung des Einkaufspreises.,,,Differenzkalkulation,Errechnung des Gewinns.,,,,,,,,,,,,,
25/02/2020 10:55:18,Wertschöpfungsprozesse erfolgsorientiert steuern,,,,,,,,,,Kostenarten,,,,,,Kostenarten aus der Abgrenzungsrechnung,Zuordnungsaufgabe,Kostenarten aus der Abgrenzungsrechnung und der Kostenartenrechnung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grundkosten,Werden in gleicher Höhe in die Betriebsergebnisrechnung übernommen.,Anderskosten,Werden in anderer Höhe in die Betriebsergebnisrechnung übernommen.,,,Zusatzkosten,"Kosten, die noch nicht als Aufwand in der Gewinn- und Verlustrechnung waren.",,,,,,,,,,,,,
